rssi,x,y,z
-109,1077.709462665603,515.5273838508874,1.5
-107,1077.709462665603,515.5273838508874,1.5
-109,1077.709462665603,515.5273838508874,1.5
-114,1226.234481236083,511.6218683775514,1.5
-111,1302.820460883551,527.0918170502409,1.5
-111,1302.820460883551,527.0918170502409,1.5
-108,1335.982994205784,505.1795706544071,1.5
-107,1335.982994205784,505.1795706544071,1.5
-109,1452.660046150791,509.9101272420958,1.5
-114,1452.660046150791,509.9101272420958,1.5
-113,1356.448801345425,752.8133163657039,1.5
-112,1331.313102415123,810.1731581054628,1.5
-112,1465.95629139489,535.6834131097421,1.5
-108,1465.95629139489,535.6834131097421,1.5
-114,1465.95629139489,535.6834131097421,1.5
-115,1465.95629139489,535.6834131097421,1.5
-111,1465.95629139489,535.6834131097421,1.5
-102,1465.95629139489,535.6834131097421,1.5
-109,1465.95629139489,535.6834131097421,1.5
-107,1465.95629139489,535.6834131097421,1.5
-108,1465.95629139489,535.6834131097421,1.5
-112,1465.95629139489,535.6834131097421,1.5
-111,1465.95629139489,535.6834131097421,1.5
-106,1465.95629139489,535.6834131097421,1.5
-107,1465.95629139489,535.6834131097421,1.5
-109,1465.95629139489,535.6834131097421,1.5
-107,1465.95629139489,535.6834131097421,1.5
-110,1465.95629139489,535.6834131097421,1.5
-110,1465.95629139489,535.6834131097421,1.5
-112,1465.95629139489,535.6834131097421,1.5
-110,1465.95629139489,535.6834131097421,1.5
-109,1465.95629139489,535.6834131097421,1.5
-105,1465.95629139489,535.6834131097421,1.5
-107,1465.95629139489,535.6834131097421,1.5
-110,1465.95629139489,535.6834131097421,1.5
-110,1465.95629139489,535.6834131097421,1.5
-108,1465.95629139489,535.6834131097421,1.5
-94,1465.95629139489,535.6834131097421,1.5
-95,1465.95629139489,535.6834131097421,1.5
-99,1465.95629139489,535.6834131097421,1.5
-98,1465.95629139489,535.6834131097421,1.5
-99,1464.847163193044,534.2279324755073,1.5
-99,1323.861801109742,505.5641328785568,1.5
-97,1323.861801109742,505.5641328785568,1.5
-100,1323.861801109742,505.5641328785568,1.5
-98,1323.861801109742,505.5641328785568,1.5
-101,1295.270154815342,501.6201625261456,1.5
-99,1281.344810215407,462.1025007087737,1.5
-98,1266.097869348363,406.9478638190776,1.5
-99,1266.097869348363,406.9478638190776,1.5
-98,1266.105605539517,406.3941247295588,1.5
-96,1264.904680894106,404.1619580741972,1.5
-99,1261.650873513543,276.9531750753522,1.5
-95,1251.504510990286,246.2390356250107,1.5
-99,1198.73837549967,267.6555544026196,1.5
-101,1133.980950245401,302.1966110505164,1.5
-100,1000.534991437686,432.0355022456497,1.5
-106,694.5299967990723,778.6706697102636,1.5
-104,744.5526505142916,924.0364819504321,1.5
-104,744.5526505142916,924.0364819504321,1.5
-106,823.2829662077129,984.5112006962299,1.5
-102,895.9759053920861,1021.528592744842,1.5
-101,895.9759053920861,1021.528592744842,1.5
