,x,y,z,lat,lng,elevation
114,646.0529655988212,2055.277249280363,1.5,-22.8155599999999,-47.06794,583.0
115,570.8307915157056,2022.543704425916,1.5,-22.815846,-47.068677,585.0
116,569.6419343205635,2012.114701461978,1.5,-22.81594,-47.0686899999999,585.0
117,684.6789522471372,2083.510425321758,1.5,-22.81531,-47.06756,583.0
118,670.9445716817863,2111.010556475259,1.5,-22.81506,-47.06769,578.0
119,586.611520320992,2164.217599621043,1.5,-22.8145689999999,-47.068504,581.0
120,543.199466992286,2067.129155317321,1.5,-22.81544,-47.0689399999999,590.0
121,542.9977872476447,2081.526391289197,1.5,-22.81531,-47.0689399999999,589.0
122,580.072634186421,2220.507779346779,1.5,-22.8140599999999,-47.0685599999999,576.0
123,481.8893036416848,2140.818216580898,1.5,-22.814767,-47.0695269999999,589.0
124,481.8893036416848,2140.818216580898,1.5,-22.814767,-47.0695269999999,589.0
125,465.9971176923718,2080.447555687279,1.5,-22.81531,-47.06969,590.0
126,466.1988706785487,2066.050314922817,1.5,-22.81544,-47.06969,589.0
127,466.1988706785487,2066.050314922817,1.5,-22.81544,-47.06969,589.0
128,466.1988706785487,2066.050314922817,1.5,-22.81544,-47.06969,589.0
129,439.9421917522559,2107.774860744365,1.5,-22.81506,-47.06994,589.0
130,439.9421917522559,2107.774860744365,1.5,-22.81506,-47.06994,589.0
131,161.3047660027514,1840.234703479335,1.5,-22.81744,-47.07269,597.0
132,238.2419489118038,1926.274849285372,1.5,-22.816673,-47.071929,601.0
133,171.5430186572485,2061.918334813789,1.5,-22.81544,-47.07256,584.0
134,279.6747952228761,1959.311644146219,1.5,-22.81638,-47.071521,603.0
135,279.6747952228761,1959.311644146219,1.5,-22.81638,-47.071521,603.0
136,363.1431957184104,2092.298265309073,1.5,-22.81519,-47.07069,597.0
137,315.3350906105479,2059.836972534657,1.5,-22.8154769999999,-47.07116,606.0
138,474.7355734339799,1456.936095585115,1.5,-22.82094,-47.06969,595.0
139,377.2099423327018,1587.05266735889,1.5,-22.8197529999999,-47.070622,596.0
140,374.5349701753585,1675.298749275506,1.5,-22.818956,-47.070636,597.0
141,371.3464934917865,1690.318743217736,1.5,-22.81882,-47.070665,597.0
142,268.6753626143327,1784.473201795481,1.5,-22.817957,-47.071652,597.0
143,265.517584361718,1782.656584948301,1.5,-22.8179729999999,-47.071683,597.0
144,299.7508741777856,1809.167709637433,1.5,-22.817738,-47.0713459999999,597.0
145,356.3610058039194,1572.692528941669,1.5,-22.81988,-47.070827,592.0
146,474.7355734339799,1456.936095585115,1.5,-22.82094,-47.06969,595.0
147,458.238113664207,1520.397506087087,1.5,-22.820365,-47.0698419999999,599.0
148,458.238113664207,1520.397506087087,1.5,-22.820365,-47.0698419999999,599.0
149,449.2249895281857,1613.982443481684,1.5,-22.819519,-47.069917,599.0
150,449.2249895281857,1613.982443481684,1.5,-22.819519,-47.069917,599.0
151,479.2354016691679,1707.338939998299,1.5,-22.81868,-47.069612,602.0
152,479.2354016691679,1707.338939998299,1.5,-22.81868,-47.069612,602.0
153,479.2354016691679,1707.338939998299,1.5,-22.81868,-47.069612,602.0
154,412.773848389741,1709.065831478685,1.5,-22.818656,-47.070259,598.0
