,latitude,longitude,elevation,maps_lat,maps_long,resolution
83,-22.814126392832,-47.07219732452982,591.0798950195312,-22.81413,-47.0722,152.7032318115234
84,-22.813652798888,-47.07238703360235,588.0362548828125,-22.81365,-47.07239,152.7032318115234
85,-22.81365219401408,-47.07256722610848,587.8302001953125,-22.81365,-47.07257,152.7032318115234
86,-22.8136513306816,-47.07274632155947,587.6242065429688,-22.81365,-47.07275,152.7032318115234
87,-22.82453689484275,-47.06136563057691,617.23291015625,-22.82454,-47.06137,152.7032318115234
88,-22.82612319262201,-47.06320577687205,627.8312377929688,-22.82612,-47.06321,152.7032318115234
89,-22.81513975797828,-47.06917010698398,596.2266845703125,-22.81514,-47.06917,152.7032318115234
90,-22.82566201473492,-47.06616126400397,624.4899291992188,-22.82566,-47.06616,152.7032318115234
91,-22.82555429466604,-47.0657873447146,624.7637329101562,-22.82555,-47.06579,152.7032318115234
92,-22.82735345745947,-47.0645836672272,631.0621948242188,-22.82735,-47.06458,152.7032318115234
93,-22.82650777700268,-47.06314329591266,628.5206909179688,-22.82651,-47.06314,152.7032318115234
94,-22.82644880302275,-47.06301428023625,627.779296875,-22.82645,-47.06301,152.7032318115234
95,-22.82647081035913,-47.06274237741827,626.625,-22.82647,-47.06274,152.7032318115234
96,-22.82627056709204,-47.06277049508611,625.9597778320312,-22.82627,-47.06277,152.7032318115234
97,-22.8267340196993,-47.06276157240472,627.7660522460938,-22.82673,-47.06276,152.7032318115234
98,-22.8265742607549,-47.06239491159453,625.1857299804688,-22.82657,-47.06239,152.7032318115234
99,-22.82684190832135,-47.06330957733402,629.8203735351562,-22.82684,-47.06331,152.7032318115234
100,-22.82729629375381,-47.06388428263642,630.991943359375,-22.8273,-47.06388,152.7032318115234
101,-22.82696238547595,-47.06402761520719,631.7596435546875,-22.82696,-47.06403,152.7032318115234
102,-22.82685274234113,-47.06452439252922,631.3216552734375,-22.82685,-47.06452,152.7032318115234
103,-22.82675865056543,-47.06429851584674,631.5239868164062,-22.82676,-47.0643,152.7032318115234
104,-22.82662863738917,-47.06403234905698,631.612548828125,-22.82663,-47.06403,152.7032318115234
105,-22.82671082157109,-47.0641533998095,631.6696166992188,-22.82671,-47.06415,152.7032318115234
106,-22.82641416444001,-47.06354182439178,629.8649291992188,-22.82641,-47.06354,152.7032318115234
107,-22.82646446913898,-47.06363268311604,630.1998901367188,-22.82646,-47.06363,152.7032318115234
108,-22.82610715211242,-47.06367550830601,629.6014404296875,-22.82611,-47.06368,152.7032318115234
109,-22.82631462808052,-47.06354589705088,629.7484130859375,-22.82631,-47.06355,152.7032318115234
110,-22.82528185432925,-47.06487241934387,624.7595825195312,-22.82528,-47.06487,152.7032318115234
111,-22.82653328018974,-47.06528323151687,629.405029296875,-22.82653,-47.06528,152.7032318115234
112,-22.82599769028854,-47.06410347880664,629.810546875,-22.826,-47.0641,152.7032318115234
113,-22.82573305336128,-47.06499816546492,626.9988403320312,-22.82573,-47.065,152.7032318115234
114,-22.82567469411812,-47.06492063612002,626.8324584960938,-22.82567,-47.06492,152.7032318115234
