building_id,boundaries_xMin,boundaries_yMin,boundaries_xMax,boundaries_yMax,boundaries_zMax,boundaries_zMin
263.0,2007.63,1423.51,2080.4,1495.61,0.0,6.0
264.0,2058.32,1485.91,2099.35,1527.36,0.0,6.0
265.0,2094.83,1451.52,2136.01,1491.06,0.0,6.0
266.0,2035.46,1464.52,2071.66,1501.16,0.0,6.0
267.0,2125.86,1421.84,2136.03,1432.47,0.0,6.0
268.0,2108.45,1425.7,2118.5,1435.99,0.0,6.0
269.0,2072.3,1428.79,2115.82,1471.33,0.0,6.0
270.0,2165.69,1384.75,2181.95,1401.49,0.0,6.0
271.0,2140.42,1925.86,2151.52,1938.17,0.0,6.0
272.0,2422.15,2198.89,2453.48,2242.4,0.0,6.0
273.0,2458.97,2193.11,2489.12,2235.06,0.0,6.0
274.0,2467.38,2100.17,2497.51,2142.09,0.0,6.0
275.0,1846.72,2432.85,1856.87,2443.8,0.0,6.0
276.0,2485.94,1774.15,2504.41,1796.48,0.0,6.0
277.0,1285.96,1055.2,1315.06,1086.21,0.0,6.0
278.0,2094.74,731.749,2135.97,758.45,0.0,6.0
279.0,2103.55,714.208,2145.02,739.907,0.0,6.0
280.0,2110.65,698.146,2152.14,723.94,0.0,6.0
281.0,2119.72,681.849,2159.81,706.793,0.0,6.0
282.0,1418.36,1749.67,1456.95,1773.47,0.0,6.0
283.0,2824.35,0.0,2835.96,10.6929,0.0,6.0
284.0,2852.53,1.54042,2868.19,17.3168,0.0,6.0
285.0,2307.77,1528.51,2335.82,1569.03,0.0,6.0
286.0,2212.04,1614.47,2240.56,1661.81,0.0,6.0
287.0,2301.55,1671.02,2329.39,1712.94,0.0,6.0
288.0,2084.92,1834.74,2100.91,1847.58,0.0,6.0
289.0,1622.49,1668.38,1639.18,1687.94,0.0,6.0
290.0,1482.05,1852.65,1501.96,1863.71,0.0,6.0
291.0,1980.67,2438.95,2016.99,2477.47,0.0,6.0
292.0,2017.36,2417.5,2045.03,2442.06,0.0,6.0
293.0,1963.1,2374.62,2027.33,2415.66,0.0,6.0
294.0,1937.12,2391.48,1967.6,2435.1,0.0,6.0
295.0,1898.59,2388.62,1943.72,2426.96,0.0,6.0
296.0,2055.91,2312.21,2075.13,2328.24,0.0,6.0
297.0,2074.41,2299.4,2092.22,2320.63,0.0,6.0
298.0,2035.55,2311.67,2055.44,2326.98,0.0,6.0
299.0,2050.88,2285.14,2076.96,2311.24,0.0,6.0
300.0,2041.77,2188.53,2081.91,2255.85,0.0,6.0
301.0,2024.87,2195.72,2041.63,2223.31,0.0,6.0
302.0,1971.88,2258.08,1982.13,2282.62,0.0,6.0
303.0,1956.45,2255.26,1971.22,2277.92,0.0,6.0
304.0,1937.75,2252.54,1955.16,2286.12,0.0,6.0
305.0,2090.6,1940.6,2122.16,1962.7,0.0,6.0
306.0,2291.94,687.412,2302.11,698.827,0.0,6.0
307.0,2379.69,790.568,2389.85,801.972,0.0,6.0
308.0,2324.18,545.097,2390.79,587.851,0.0,6.0
309.0,2586.49,384.208,2617.55,404.82,0.0,6.0
310.0,1881.28,816.02,1931.85,849.389,0.0,6.0
311.0,1947.47,622.582,2097.99,719.465,0.0,6.0
312.0,1733.0,1382.43,1766.35,1431.23,0.0,6.0
313.0,1757.96,1392.55,1791.31,1441.34,0.0,6.0
314.0,1713.2,1448.91,1722.09,1464.77,0.0,6.0
315.0,1718.13,1985.65,1736.64,2004.05,0.0,6.0
316.0,2296.29,588.968,2332.02,645.598,0.0,6.0
317.0,2336.49,621.261,2364.92,665.024,0.0,6.0
318.0,2311.85,598.457,2345.98,651.576,0.0,6.0
319.0,2144.78,530.043,2173.21,573.795,0.0,6.0
320.0,2170.35,529.552,2206.07,586.182,0.0,6.0
321.0,2192.94,544.213,2227.08,597.342,0.0,6.0
322.0,2219.66,556.384,2253.8,609.502,0.0,6.0
323.0,2251.84,921.964,2265.96,934.398,0.0,6.0
324.0,2090.8,929.056,2162.6,973.269,0.0,6.0
325.0,2250.17,988.942,2280.23,1027.53,0.0,6.0
326.0,2246.94,1554.16,2269.2,1588.33,0.0,6.0
327.0,2221.47,1546.88,2254.42,1601.91,0.0,6.0
328.0,2245.42,1203.75,2307.26,1253.86,0.0,6.0
329.0,1497.19,1522.42,1526.94,1535.7,0.0,6.0
330.0,1480.27,1629.26,1510.02,1642.55,0.0,6.0
331.0,1493.78,1662.18,1523.53,1675.46,0.0,6.0
332.0,1279.25,2077.6,1289.35,2088.6,0.0,6.0
333.0,1359.63,2187.75,1408.23,2235.11,0.0,6.0
334.0,1271.61,2251.42,1339.42,2276.36,0.0,6.0
335.0,1748.93,2289.59,1775.54,2331.25,0.0,6.0
336.0,1954.87,2307.7,1966.33,2321.67,0.0,6.0
337.0,1875.63,2261.58,1898.71,2292.73,0.0,6.0
338.0,1885.85,2219.64,1907.59,2242.65,0.0,6.0
339.0,2260.46,2104.93,2292.36,2115.35,0.0,6.0
340.0,2275.97,2057.54,2322.87,2081.77,0.0,6.0
341.0,2221.88,2117.97,2244.67,2149.98,0.0,6.0
342.0,2209.37,2144.43,2245.51,2170.06,0.0,6.0
343.0,2201.38,2160.82,2224.17,2192.83,0.0,6.0
344.0,2215.75,2167.45,2238.53,2199.47,0.0,6.0
345.0,2236.17,2124.95,2258.96,2156.96,0.0,6.0
346.0,2230.02,2174.9,2252.82,2206.91,0.0,6.0
347.0,2297.58,1871.36,2321.57,1880.53,0.0,6.0
348.0,2327.17,1871.22,2343.71,1880.14,0.0,6.0
349.0,2422.24,1943.24,2446.14,1987.42,0.0,6.0
350.0,2384.29,1886.14,2449.09,1941.5,0.0,6.0
351.0,1831.93,534.785,1981.62,690.53,0.0,6.0
352.0,2386.98,1287.16,2395.47,1294.53,0.0,6.0
353.0,2340.84,1245.7,2359.95,1260.19,0.0,6.0
354.0,2606.34,1158.62,2629.01,1180.17,0.0,6.0
355.0,2637.69,1121.69,2661.53,1141.7,0.0,6.0
356.0,2651.98,1076.39,2685.84,1099.76,0.0,6.0
357.0,2294.54,1194.38,2312.33,1212.23,0.0,6.0
358.0,2268.84,1140.04,2320.59,1201.67,0.0,6.0
359.0,2332.13,1482.57,2350.09,1497.47,0.0,6.0
360.0,2327.9,1464.39,2359.19,1489.88,0.0,6.0
361.0,2287.49,1434.29,2322.99,1472.8,0.0,6.0
362.0,2773.6,1775.0,2787.94,1789.08,0.0,6.0
363.0,2480.33,1797.98,2504.92,1813.65,0.0,6.0
364.0,2456.18,1776.59,2480.29,1813.54,0.0,6.0
365.0,2172.86,1800.17,2185.61,1852.84,0.0,6.0
366.0,2152.56,1826.75,2162.66,1843.92,0.0,6.0
367.0,1856.04,1727.7,1869.6,1739.9,0.0,6.0
368.0,1867.62,1719.77,1882.16,1733.27,0.0,6.0
369.0,1722.07,2254.78,1757.84,2278.43,0.0,6.0
370.0,1616.82,2081.68,1681.35,2100.32,0.0,6.0
371.0,1621.17,2016.64,1640.42,2038.03,0.0,6.0
372.0,1915.78,1877.12,1921.49,1883.61,0.0,6.0
373.0,1913.18,1864.02,1922.55,1873.27,0.0,6.0
374.0,1901.04,1868.1,1913.11,1892.41,0.0,6.0
375.0,1911.58,1750.8,1922.51,1773.82,0.0,6.0
376.0,1994.41,1750.32,2015.36,1774.13,0.0,6.0
377.0,1682.7,1837.09,1693.66,1846.72,0.0,6.0
378.0,2275.84,911.317,2285.29,919.534,0.0,6.0
379.0,2257.78,917.815,2296.63,958.878,0.0,6.0
380.0,2424.8,290.183,2464.68,310.996,0.0,6.0
381.0,2296.18,299.803,2305.84,310.319,0.0,6.0
382.0,1817.85,1414.58,1820.47,1417.18,0.0,6.0
383.0,1426.14,842.306,1454.83,871.913,0.0,6.0
384.0,1420.02,837.544,1443.37,861.94,0.0,6.0
385.0,1436.87,824.668,1461.34,847.9,0.0,6.0
386.0,1460.24,843.742,1475.92,859.255,0.0,6.0
387.0,1405.22,853.902,1425.66,870.995,0.0,6.0
388.0,1433.39,880.054,1452.76,902.758,0.0,6.0
389.0,1455.65,860.904,1471.68,876.94,0.0,6.0
390.0,1446.32,859.129,1455.25,867.797,0.0,6.0
391.0,1444.26,869.799,1462.09,887.323,0.0,6.0
392.0,1394.37,865.827,1416.45,887.54,0.0,6.0
